artistID,Artist,Songs,Popularity,Link,Genre,Genres
163,Jessé Pedra Trio,2,0,/jesse-pedra-trio/,Rock,Rock; Gospel/Religioso; Reggae
164,Jet,54,2.1,/jet/,Rock,Rock; Indie; Rock Alternativo; Pop/Rock; Soft Rock; Hard Rock
165,Jimi Hendrix,129,1.8,/jimi-hendrix/,Rock,Rock; Blues; Psicodelia; Hard Rock; Clássico; Rock Alternativo; Heavy Metal; R&B; Classic Rock; Instrumental; Soul Music; Folk; Hardcore; Progressivo; Funk
166,Jimmy Breedlove,8,0,/jimmy-breedlove/,Rock,Rock; R&B; Rockabilly
167,Jimmy Eat World,143,0.3,/jimmy-eat-world/,Rock,Rock; Punk Rock; Pop/Rock; Rock Alternativo; Pop/Punk; Emocore; Romântico; Trilha Sonora; Reggae; Axé
168,Joan Jett & The Blackhearts,179,0,/joan-jett-the-blackhearts/,Rock,Rock
169,João Cascaio,6,0,/joao-cascaio/,Rock,Rock; Rockabilly; Country
170,João8,5,0,/joao8/,Rock,Rock
171,Joe Perry Project,45,0,/joe-perry-project/,Rock,Rock; Hard Rock
172,John Lennon,134,12.9,/john-lennon/,Rock,Rock; Romântico; Pop/Rock; World Music; Rock Alternativo; Black Music; J-Pop/J-Rock; Blues; Dance; Country; Hard Rock
173,John People,12,0,/john-people/,Pop,Pop; Rock; Indie
174,John Tennessee,1,0,/john-tennessee/,Rock,Rock
175,Johnny Rivers,160,1.6,/johnny-rivers/,Rock,Rock; Pop/Rock; Blues; Romântico; Trilha Sonora; Rockabilly; World Music; Dance; Clássico
176,Johnny Winter,108,0.1,/johnny-winter/,Rock,Rock; Blues
177,Juliette Lewis (and The Licks),41,0,/juliette-lewis-and-the-licks/,Rock,Rock
178,Kedart Alexandro,13,0,/kedart-alexandro/,Rock,Rock; Gótico; Metal
179,Kiss,276,5.1,/kiss/,Rock,Rock; Hard Rock; Heavy Metal; Clássico; Metal; Classic Rock; Sertanejo; J-Pop/J-Rock; Black Music; Hardcore; Pop/Rock; Emocore; Punk Rock
180,Krv,7,0,/krv/,Rock,Rock
181,KT Tunstall,105,0.7,/kt-tunstall/,Rock,Rock; Pop/Rock; Folk; Pop; Rock Alternativo; Blues; Soft Rock; Indie; Post-Rock; Chillout; Country
182,Lagum,17,3.8,/lagum/,Rock,Rock; Surf Music; Pop/Rock
183,Lambertos,11,0,/lambertos/,Rock,Rock; Pop/Rock
184,LARG,2,0,/larg/,Rock,Rock; Rap; Hip Hop
185,LCsilva,1,0,/lcsilva/,Rock,Rock
186,Led Zeppelin,95,9.2,/led-zeppelin/,Rock,Rock; Hard Rock; Heavy Metal; Blues; Clássico; Classic Rock; Progressivo; Folk; Country; Rockabilly; Psicodelia; Black Music; Reggaeton; Metal; Trance; World Music; Bossa Nova; Punk Rock; Rock Alternativo; Velha Guarda; Hardcore; Emocore; Axé
187,Leela,44,0.1,/leela/,Rock,Rock; Pop/Rock; Punk Rock; Emocore; Rock Alternativo; Hard Rock
